hs9,hs9_name
000000011,airplain_meal_etc
000000019,airplain_others
000000091,re_import_ship_over_500
000000099,re_import_ohters
000000110,re_export_ship_over_500
000000190,re_export_ohters
010121000,Pure-bred_breeding_animals
010129000,Other
010612000,Whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_manatees_and_dugongs_(mammals_of_the_order_Sirenia);seals_sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
010619000,Other
010619012,Other
010619019,Other
010619041,Other
010619042,Other
010619044,Other
010619045,Other
010619046,Other
010619047,Other
010619049,Other
010620000,Reptiles_(including_snakes_and_turtles)
010639010,Other
010639090,Other
010690000,Other
020130000,Boneless
020230000,Boneless
020311000,Carcasses_and_half-carcasses
020312000,Hams__shoulders_and_cuts_thereof__with_bone_in
020319000,Other
020321000,Carcasses_and_half-carcasses
020322000,Hams__shoulders_and_cuts_thereof__with_bone_in
020329000,Other
020629000,Other
020649000,Other
020714000,Cuts_and_offal__frozen
020890000,Other
021011000,Hams__shoulders_and_cuts_thereof__with_bone_in
021019000,Other
021099000,Other
030111900,Freshwater
030191000,Trout_(Salmo_trutta__Oncorhynchus_mykiss__Oncorhynchus_clarki__Oncorhynchus_aguabonita__Oncorhynchus_gilae__Oncorhynchus_apache_and_Oncorhynchus_chrysogaster)
030192000,Eels_(Anguilla_spp.)
030193000,Carp(Cyprinus_carpio__Carassius_carassius__Ctenopharyngodon_idellus__Hypophthalmichthys_spp.__Cirrhinus_spp.__Mylopharyngodon_piceus)
030199100,Other
030199900,Other
030213000,Pacific_salmon_(Oncorhynchus_nerka__Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
030235100,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030235200,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030243000,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
030289000,Other
030290000,Livers_and_roes
030312000,Other_Pacific_salmon_(Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
030345100,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030345200,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030353000,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
030366000,Hake_(Merluccius_spp.__Urophycis_spp.)
030369900,Other
030389100,Other
030389200,Other
030389300,Other
030389400,Other
030389500,Other
030389900,Other
030390000,Livers_and_roes
030449200,Other
030449900,Other
030459200,Other
030459900,Other
030479000,Other
030487010,Tunas_(of_the_genus_Thunnus)__skipjack_or_stripe-bellied_bonito_(Euthynnus_(Katsuwonus)_pelamis)
030487100,Tunas_(of_the_genus_Thunnus)__skipjack_or_stripe-bellied_bonito_(Euthynnus_(Katsuwonus)_pelamis)
030487200,Tunas_(of_the_genus_Thunnus)__skipjack_or_stripe-bellied_bonito_(Euthynnus_(Katsuwonus)_pelamis)
030489200,Other
030489900,Other
030494100,Alaska_Pollack_(Theragra_chalcogramma)
030494900,Alaska_Pollack_(Theragra_chalcogramma)
030495100,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae__other_than_Alaska_Pollack_(Theragra_chalcogramma)
